,Energy_Generated_KWh,Temperature_C,apparent_zenith,azimuth,poa_global
2012-01-01,11.55485925044772,21.729501067040395,106.99689004167563,110.48468758124767,1283.8732500497467
2012-01-02,12.365460573725207,21.14417724070885,107.09498081437589,110.38743133295816,1373.940063747245
2012-01-03,12.541793258531932,22.45594998292032,107.19091587101852,110.28239419255101,1393.5325842813256
2012-01-04,12.272819946136378,24.48556569182626,107.284590246916,110.16962221332182,1363.6466606818199
2012-01-05,12.514747532037802,21.313653628790778,107.37590162811047,110.04916512787668,1390.5275035597558
2012-01-06,12.483606790446787,21.310795100804818,107.46475050107824,109.921076178075,1387.0674211607543
2012-01-07,12.16004728168378,22.19953266079776,107.55104042008307,109.78541192805301,1351.1163646315313
2012-01-08,12.413767670770893,21.04197717721318,107.63467829966012,109.64223206680543,1379.3075189745434
2012-01-09,12.405212092487595,22.853057782550575,107.71557462604943,109.49159916066264,1378.3568991652883
2012-01-10,13.220825626848363,21.73809286130186,107.79364349398675,109.33357836894993,1468.9806252053738
2012-01-11,11.940184286929933,22.913028297242015,107.86880242313131,109.16823726495363,1326.6871429922148
2012-01-12,11.667873691766955,20.80018340546756,107.9409719268449,108.99564598084311,1296.4304101963282
2012-01-13,13.032012483924838,21.56539950256534,108.01007483435546,108.81587780677796,1448.0013871027597
2012-01-14,10.986931771047985,20.630342375557223,108.0760353942749,108.6290101651312,1220.7701967831094
2012-01-15,11.324865050765789,20.41367820341006,108.13877822773793,108.43512570438133,1258.3183389739766
2012-01-16,11.992454429398563,22.108353596087834,108.19822727239043,108.23431322665488,1332.4949365998402
2012-01-17,11.543710083499512,17.77294417969296,108.25430489038287,108.02666826082827,1282.634453722168
2012-01-18,11.884426486275032,20.283479668463084,108.30693131996807,107.81229320072896,1320.4918318083367
2012-01-19,12.497139917210673,19.07085532212981,108.35602460172645,107.59129698126208,1388.571101912297
2012-01-20,12.142777287711734,22.068686034447857,108.40150102843815,107.36379430448653,1349.197476412415
2012-01-21,12.243001442329316,22.549710908798094,108.44327610266251,107.12990452073558,1360.3334935921462
2012-01-22,12.084399079562038,18.146876369198708,108.48126590045997,106.88975040906712,1342.7110088402264
2012-01-23,12.377376752770973,19.138926022687446,108.51538867404626,106.64345716821879,1375.2640836412193
2012-01-24,12.145826283732815,21.301053441013128,108.54556646565257,106.39115183172646,1349.5362537480905
2012-01-25,11.98061141418485,21.444969806896648,108.57172648255168,106.13296309801848,1331.1790460205389
2012-01-26,11.959322557407248,21.96304980851683,108.59380205612361,105.86902137161633,1328.8136174896943
2012-01-27,11.725341952175972,23.237539260027262,108.61173312083017,105.59945878603651,1302.8157724639968
2012-01-28,12.243470595700426,19.843123780945294,108.62546628979939,105.32440910519608,1360.3856217444918
2012-01-29,12.489371349891627,22.195993253428888,108.63495468192494,105.04400754611765,1387.7079277657365
2012-01-30,12.370798001335649,20.426114689401686,108.64015765030777,104.75839060842503,1374.5331112595163
2012-01-31,12.074638327973494,18.4237110829159,108.64104053183388,104.46769593102317,1341.626480885944
2012-02-01,11.533765996704293,19.990084928120496,108.63757448530362,104.17206212700245,1281.529555189366
2012-02-02,12.103988922411988,20.249230023086998,108.62973647012723,103.87162854540861,1344.8876580457763
2012-02-03,12.847521689811707,18.685023151780353,108.61750939031674,103.56653495810906,1427.5024099790787
2012-02-04,11.742540316602822,22.32496770757774,108.60088236882493,103.25692119613109,1304.726701844758
2012-02-05,12.197530275129365,19.545200196935397,108.5798510668417,102.94292672850509,1355.2811416810407
2012-02-06,12.671146749811982,23.302627880388002,108.55441791857336,102.62469015226696,1407.9051944235534
2012-02-07,12.95716598623752,19.781780149712898,108.52459218245039,102.30234861692986,1439.6851095819466
2012-02-08,12.265807562830732,23.394051943094123,108.49038976493193,101.97603734233019,1362.8675069811925
2012-02-09,12.130565066040836,22.716449670338235,108.45183280535628,101.64588949840538,1347.840562893426
2012-02-10,11.756092732174475,27.59275271154775,108.40894902470586,101.3120366711579,1306.232525797164
2012-02-11,12.007583832377957,23.403139783698883,108.36177082014395,100.97460992665697,1334.1759813753285
2012-02-12,11.492414089964093,24.96779752620324,108.31033412256605,100.63374121226792,1276.9348988848992
2012-02-13,11.80120095320851,21.537734139016,108.25467711184442,100.28956467384984,1311.244550356501
2012-02-14,11.965462410720736,22.743902407270827,108.1948389660409,99.94221751133205,1329.495823413415
2012-02-15,11.801705623235751,27.27368995249397,108.13085886321268,99.59184019453971,1311.3006248039724
2012-02-16,12.472189875695095,27.068539073727823,108.06277541136984,99.23857608540101,1385.7988750772329
2012-02-17,11.27309534635939,20.178913347812554,107.99062657671341,98.88257064745932,1252.5661495954878
2012-02-18,12.146958444258077,20.763749731908845,107.9144500912647,98.52397044100621,1349.6620493620085
2012-02-19,12.450431734083958,23.429879171718966,107.83428423904196,98.16292206470064,1383.3813037871066
