time,tavg,tmin,tmax,prcp
01-01-2012,22.1,16.7,28.5,0
02-01-2012,22.3,18.3,29.2,
03-01-2012,23.1,18,30.6,
04-01-2012,23.7,18.8,30.6,
05-01-2012,23.3,18.6,30.1,
06-01-2012,22.7,17,30.6,
07-01-2012,22.1,16.9,30.6,
08-01-2012,22.6,16,30.2,
09-01-2012,22.9,17.2,30.4,
10-01-2012,23.2,18.8,30.4,
11-01-2012,23.1,18.9,30.4,
12-01-2012,22.4,17.9,29.8,0.3
13-01-2012,21.4,17.4,28.2,0
14-01-2012,20.4,15.9,28,
15-01-2012,19.3,13.4,27.2,
16-01-2012,19.8,12,28.8,
17-01-2012,21.2,13.2,30.2,
18-01-2012,21.3,13.5,30.2,
19-01-2012,21.9,16.1,30,
20-01-2012,21.9,15.8,29.5,
21-01-2012,22,15.4,29.9,
22-01-2012,21.1,15.4,29.9,
23-01-2012,20.6,15.2,29.2,
24-01-2012,20.7,14.9,28.3,
25-01-2012,19.8,14,28.3,
26-01-2012,20.9,14.3,28.4,
27-01-2012,21.4,16,28.8,
28-01-2012,21.7,17.5,28.8,
29-01-2012,21.8,16.4,28.8,
30-01-2012,21.1,16.5,28.4,
31-01-2012,21.4,16.6,28,
01-02-2012,20.8,14.6,28.2,
02-02-2012,21.1,14,28.4,
03-02-2012,21.1,15.6,28.4,
04-02-2012,21.9,16,29.4,
05-02-2012,22.7,16,30.6,
06-02-2012,23.1,16,30.6,
07-02-2012,23.5,18,30.7,
08-02-2012,24.4,17.7,32.4,
09-02-2012,24.4,18.8,32.4,
10-02-2012,24.3,18.7,32.2,
11-02-2012,23.2,18.5,31.4,
12-02-2012,23.8,18.8,30.2,
13-02-2012,23.4,18.1,31.6,
14-02-2012,23.9,16.9,31.8,
15-02-2012,24.3,17.7,31.8,
16-02-2012,24.9,18.4,32.3,
17-02-2012,24.8,19.4,32.5,
18-02-2012,23.6,18.6,32.5,
19-02-2012,24.1,16.2,32.4,
20-02-2012,25,16.9,33.3,
21-02-2012,25.6,17.8,33.6,
22-02-2012,24.5,17.8,33.6,
23-02-2012,24.2,17.4,32.6,
24-02-2012,24.8,16.3,32.8,
25-02-2012,24.4,16.2,32.8,
26-02-2012,24.3,15.8,32.6,
27-02-2012,24.2,15.6,32.6,
28-02-2012,26.1,16.6,35.4,
29-02-2012,26.7,20,35.4,
01-03-2012,27,20.2,35.6,
02-03-2012,26.9,17.5,35.6,
03-03-2012,26.7,19.8,34.9,
04-03-2012,27.1,18.6,35.1,
05-03-2012,26.9,21.5,35.1,
06-03-2012,26.5,21.1,34.3,
07-03-2012,27.1,21.3,34.3,
08-03-2012,26.4,21.2,33.7,
09-03-2012,25.7,19,33.5,
10-03-2012,26.7,20.6,33.5,
11-03-2012,25.9,19.6,33.5,
12-03-2012,26.1,19.6,33.4,
13-03-2012,25.8,20.6,33.4,
14-03-2012,26.2,20.4,32.6,
15-03-2012,26.7,20.8,33.6,
16-03-2012,27,20.9,33.9,0
17-03-2012,27.3,21.6,34.6,
18-03-2012,28.2,20.8,35.5,
19-03-2012,28.2,22.2,35.5,
20-03-2012,28,22.9,35.1,
21-03-2012,27.8,22.7,35.4,
22-03-2012,27.4,22,35.4,
23-03-2012,27.6,22,35.4,
24-03-2012,27.1,20.2,35.4,
25-03-2012,26.4,18.4,35.3,
26-03-2012,26.4,18.4,35.3,
27-03-2012,26.2,17.7,35.3,
28-03-2012,26.5,19.8,34.4,
29-03-2012,28.4,21.9,37.2,
30-03-2012,27.6,21.9,35.6,
31-03-2012,27.2,19.7,35.2,0.8
01-04-2012,26.7,21.2,35,0
